DanhMuc,CauHoi,CauTraLoi
,Lướt face trong giờ học bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Lướt face trong giờ học bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Xem tiktok trong giờ học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Xem tiktok trong giờ học bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Xem tiktok trong giờ học bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Lướt tiktok trong giờ học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Lướt tiktok trong giờ học bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Lướt tiktok trong giờ học bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Sử dụng điện thoại, sử dụng máy vi tính không đúng mục đích trong giờ học, thư viện bị xử lý như thế nào","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Sử dụng điện thoại, sử dụng máy vi tính không đúng mục đích trong giờ học, thư viện bị xử lý sao","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Sử dụng điện thoại, sử dụng máy vi tính không đúng mục đích trong giờ học, thư viện bị xử lý gì","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Sử dụng điện thoại trong giờ học bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Sử dụng điện thoại trong giờ học bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Sử dụng điện thoại trong giờ học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Sử dụng máy vi tính không đúng mục đích trong giờ học bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Sử dụng máy vi tính không đúng mục đích trong giờ học bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Sử dụng máy vi tính không đúng mục đích trong giờ học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Sử dụng máy vi tính không đúng mục đích trong thư viện bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Sử dụng máy vi tính không đúng mục đích trong thư viện bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Sử dụng máy vi tính không đúng mục đích trong thư viện bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Mất trật tự, làm việc riêng trong giờ học, thư viện bị xử lý như thế nào","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Mất trật tự, làm việc riêng trong giờ học, thư viện bị xử lý sao","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Mất trật tự, làm việc riêng trong giờ học, thư viện bị xử lý gì","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Mất trật tự trong giờ học bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Mất trật tự trong giờ học bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Mất trật tự trong giờ học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Làm việc riêng trong giờ học bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Làm việc riêng trong giờ học bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Làm việc riêng trong giờ học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Tự ý vào lớp khi giờ học đã bắt đầu bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Tự ý vào lớp khi giờ học đã bắt đầu bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Tự ý vào lớp khi giờ học đã bắt đầu bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Tự ý bỏ học đi ra ngoài mà không xin phép thầy cô bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Tự ý bỏ học đi ra ngoài mà không xin phép thầy cô bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Tự ý bỏ học đi ra ngoài mà không xin phép thầy cô bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đi trễ nhưng vẫn vào điểm danh chào cờ bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đi trễ nhưng vẫn vào điểm danh chào cờ bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đi trễ nhưng vẫn vào điểm danh chào cờ bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Viết, vẽ, khắc chữ lên tường, cửa, bàn, ghế, bảng… trong các phòng học, phòng họp, phòng ở Ký túc xá và các khu vực khác trong trường bị xử lý gì","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,"Viết, vẽ, khắc chữ lên tường, cửa, bàn, ghế, bảng… trong các phòng học, phòng họp, phòng ở Ký túc xá và các khu vực khác trong trường bị xử lý sao","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,"Viết, vẽ, khắc chữ lên tường, cửa, bàn, ghế, bảng… trong các phòng học, phòng họp, phòng ở Ký túc xá và các khu vực khác trong trường bị xử lý như thế nào","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,Viết lên tường trong phòng học bị xử lý gì,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,Viết lên tường trong phòng học bị xử lý sao,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,Viết lên tường trong phòng học bị xử lý thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,Vẽ lên tường trong phòng học bị xử lý gì ,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,Vẽ lên tường trong phòng học bị xử lý sao,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,Vẽ lên tường trong phòng học bị xử lý như thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,Khắc chữ lên tường trong phòng học bị xử lý gì,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,Khắc chữ lên tường trong phòng học bị xử lý sao,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,Khắc chữ lên tường trong phòng học bị xử lý thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,Vẽ lên bàn ghế trong phòng học bị xử lý gì,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,Vẽ lên bàn ghế trong phòng học bị xử lý sao,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,Vẽ lên bàn ghế trong phòng học bị xử lý thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,"Viết, vẽ lên bàn ghế trong phòng học bị xử lý gì","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,"Viết, vẽ lên bàn ghế trong phòng học bị xử lý sao","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,"Viết, vẽ lên bàn ghế trong phòng học bị xử lý thế nào","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,"Viết, vẽ lên bàn ghế trong phòng kí túc xá bị xử lý gì","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,"Viết, vẽ lên bàn ghế trong phòng kí túc xá bị xử lý sao","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,"Viết, vẽ lên bàn ghế trong phòng kí túc xá bị xử lý thế nào","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,Khắc chữ lên tường trong phòng kí túc xá bị xử lý như thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,Khắc chữ lên tường trong phòng kí túc xá bị xử lý gì,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,Khắc chữ lên tường trong phòng kí túc xá bị xử lý sao,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học và phải bồi thường thiệt hại "
,"Ngồi, chạy nhảy trên bàn; đi trên ghế; leo trèo, nhảy qua cửa sổ; ngồi trên lan can; gạch xé và bôi xóa các thông báo, thông tin của nhà trường bị xử lý gì","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Ngồi, chạy nhảy trên bàn; đi trên ghế; leo trèo, nhảy qua cửa sổ; ngồi trên lan can; gạch xé và bôi xóa các thông báo, thông tin của nhà trường bị xử lý như thế nào","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Ngồi, chạy nhảy trên bàn; đi trên ghế; leo trèo, nhảy qua cửa sổ; ngồi trên lan can; gạch xé và bôi xóa các thông báo, thông tin của nhà trường bị xử lý sao","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ngồi trên bàn học bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ngồi trên bàn học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ngồi trên bàn học bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Chạy nhảy trên bàn học bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Chạy nhảy trên bàn học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Chạy nhảy trên bàn học bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đi trên ghế bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đi trên ghế bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đi trên ghế bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Nhảy qua cửa sổ bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Nhảy qua cửa sổ bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Nhảy qua cửa sổ bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ngồi trên lan can bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ngồi trên lan can bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ngồi trên lan can bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Gạch xé các thông báo của nhà trường bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Gạch xé các thông báo của nhà trường bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Gạch xé các thông báo của nhà trường bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Gạch xé các thông tin của nhà trường bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Gạch xé các thông tin của nhà trường bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Gạch xé các thông tin của nhà trường bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Bôi xóa các thông báo của nhà trường bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Bôi xóa các thông báo của nhà trường bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Bôi xóa các thông báo của nhà trường bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Giẫm chân lên bệ bồn cầu của nhà trường bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Giẫm chân lên bệ bồn cầu của nhà trường bị xử lý sao ,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Giẫm chân lên bệ bồn cầu của nhà trường bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Tự ý di chuyển các trang thiết bị, tài sản, bàn ghế, bảng, bục trong phòng học, giảng đường bị xử lý sao","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,"Tự ý di chuyển các trang thiết bị, tài sản, bàn ghế, bảng, bục trong phòng học, giảng đường bị xử lý gì","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,"Tự ý di chuyển các trang thiết bị, tài sản, bàn ghế, bảng, bục trong phòng học, giảng đường bị xử lý như thế nào","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,Làm hư hỏng các thiết bị bị xử lý như thế nào,"Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,Làm hư hỏng các thiết bị bị xử lý sao,"Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,Làm hư hỏng các thiết bị bị xử lý gì,"Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,"Phá hoại thang máy, nghịch phá lan can, cầu thang, tường rào, đèn chiếu sáng bị xử lý như thế nào","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,"Phá hoại thang máy, nghịch phá lan can, cầu thang, tường rào, đèn chiếu sáng bị xử lý gì","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,"Phá hoại thang máy, nghịch phá lan can, cầu thang, tường rào, đèn chiếu sáng bị xử lý sao","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,"Làm mất vệ sinh trong trường, bỏ rác không đúng nơi qui định bị xử lý sao","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,"Làm mất vệ sinh trong trường, bỏ rác không đúng nơi qui định bị xử lý gì","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,"Làm mất vệ sinh trong trường, bỏ rác không đúng nơi qui định bị xử lý như thế nào","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,Bỏ rác không đúng nơi quy định bị xử lý gì,"Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,Bỏ rác không đúng nơi quy định bị xử lý sao,"Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,Bỏ rác không đúng nơi quy định bị xử lý như thế nào,"Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,"Lãng phí điện, nước trong trường bị xử lý gì","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,"Lãng phí điện, nước trong trường bị xử lý sao","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,"Lãng phí điện, nước trong trường bị xử lý như thế nào","Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học và phải bồi thường thiệt hại"
,Lấy cắp tài sản trong trường bị xử lý gì,"Tùy theo mức độ xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học. Nếu nghiêm trọng, giao cho cơ quan chức năng xử lý theo qui định của pháp luật "
,Lấy cắp tài sản trong trường bị xử lý sao,"Tùy theo mức độ xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học. Nếu nghiêm trọng, giao cho cơ quan chức năng xử lý theo qui định của pháp luật "
,Lấy cắp tài sản trong trường bị xử lý như thế nào,"Tùy theo mức độ xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học. Nếu nghiêm trọng, giao cho cơ quan chức năng xử lý theo qui định của pháp luật "
,Không tham gia đầy đủ các buổi sinh hoạt công dân do nhà trường tổ chức bị xử lý gì,"Tùy theo mức độ, xử lý từ nhắc nhở đến cảnh cáo"
,Không tham gia đầy đủ các buổi sinh hoạt công dân do nhà trường tổ chức bị xử lý sao,"Tùy theo mức độ, xử lý từ nhắc nhở đến cảnh cáo"
,Không tham gia đầy đủ các buổi sinh hoạt công dân do nhà trường tổ chức bị xử lý thế nào,"Tùy theo mức độ, xử lý từ nhắc nhở đến cảnh cáo"
,Không tham gia sinh hoạt công dân bị xử lý gì ,"Tùy theo mức độ, xử lý từ nhắc nhở đến cảnh cáo"
,Không tham gia sinh hoạt công dân bị xử lý sao,"Tùy theo mức độ, xử lý từ nhắc nhở đến cảnh cáo"
,Không tham gia sinh hoạt công dân bị xử lý như thế nào,"Tùy theo mức độ, xử lý từ nhắc nhở đến cảnh cáo"
,Điểm danh hộ bị xử lý như thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Điểm danh hộ bị xử lý gì,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Điểm danh hộ bị xử lý sao,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Học hộ bị xử lý như thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Học hộ bị xử lý gì,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Học hộ bị xử lý ra sao,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,"Nhờ người khác điểm danh hộ, học hộ bị xử lý gì","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,"Nhờ người khác điểm danh hộ, học hộ bị xử lý sao","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,"Nhờ người khác điểm danh hộ, học hộ bị xử lý thế nào","Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Tham gia sinh hoạt công dân hộ bị xử lý như thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Tham gia sinh hoạt công dân hộ bị xử lý sao,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Tham gia sinh hoạt công dân hộ bị xử lý gì,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Nhờ người khác tham gia sinh hoạt công dân hộ bị xử lý gì,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Nhờ người khác tham gia sinh hoạt công dân hộ bị xử lý sao,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Nhờ người khác tham gia sinh hoạt công dân hộ bị xử lý thế nào,"Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học"
,Thi hộ bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Thi hộ bị xử lý gì,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Thi hộ bị xử lý sao,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Kiểm tra hộ bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Kiểm tra hộ bị xử lý gì,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Kiểm tra hộ bị xử lý sao,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác thi hộ bị xử lý như thế nào,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
,Nhờ người khác thi hộ bị xử lý sao,"Hình thức xử lý: Lần 1 - Đình chỉ học tập có thời hạn, lần 2 - Buộc thôi học"
